phrase,category
20713 wrongly marked,Barcode/coding/label errors
add stock to allocate online orders,Stock/order/logistics notes
adjust,Adjustments/credits
adjust bad debt,Adjustments/credits
adjustment,Adjustments/credits
allocate stock for dotcom orders ta,Stock/order/logistics notes
amazon,Channel/marketplace labels
amazon adjust,Adjustments/credits
amazon adjustment,Adjustments/credits
amazon fee,Fees/charges & shipping
amazon sales,Channel/marketplace labels
amazon sold sets,Sold-as/set notes
bank charges,Fees/charges & shipping
barcode problem,Barcode/coding/label errors
breakages,Other admin/noise
broken,Damage/condition notes
came coded as 20713,Barcode/coding/label errors
can t find,Other admin/noise
carriage,Fees/charges & shipping
check,Other admin/noise
code mix up 84930,Other admin/noise
cracked,Damage/condition notes
crushed,Damage/condition notes
crushed boxes,Damage/condition notes
crushed ctn,Damage/condition notes
damaged,Damage/condition notes
damaged stock,Stock/order/logistics notes
damages,Damage/condition notes
damages credits from asos,Adjustments/credits
damages display,Damage/condition notes
damages dotcom,Damage/condition notes
damages samples,Damage/condition notes
damages showroom etc,Damage/condition notes
damages wax,Damage/condition notes
did a credit and did not tick ret,Adjustments/credits
discount,Fees/charges & shipping
display,Other admin/noise
dotcom,Channel/marketplace labels
dotcom adjust,Adjustments/credits
dotcom postage,Fees/charges & shipping
dotcom sales,Channel/marketplace labels
dotcom set,Channel/marketplace labels
dotcom sold in 6s,Sold-as/set notes
dotcom sold sets,Sold-as/set notes
dotcomstock,Stock/order/logistics notes
ebay,Channel/marketplace labels
faulty,Other admin/noise
fba,Channel/marketplace labels
for online retail orders,Stock/order/logistics notes
found by jackie,Other admin/noise
had been put aside,Other admin/noise
high resolution image,Other admin/noise
incorrect stock entry,Stock/order/logistics notes
incorrectly credited c550456 see 47,Adjustments/credits
incorrectly made-thrown away,Damage/condition notes
incorrectly put back into stock,Stock/order/logistics notes
label mix up,Other admin/noise
lighthouse trading zero invc incorr,Other admin/noise
lost,Damage/condition notes
lost in space,Damage/condition notes
mailout,Other admin/noise
manual,Other admin/noise
marked as 23343,Barcode/coding/label errors
merchant chandler credit error sto,Adjustments/credits
mia,Other admin/noise
michel oops,Other admin/noise
missing,Damage/condition notes
mix up with c,Other admin/noise
mixed up,Other admin/noise
mouldy,Damage/condition notes
mouldy thrown away,Damage/condition notes
mouldy unsaleable,Damage/condition notes
mystery only ever imported 1800,Other admin/noise
next day carriage,Fees/charges & shipping
not rcvd in 10 11 2010 delivery,Stock/order/logistics notes
on cargo order,Stock/order/logistics notes
oops adjustment,Adjustments/credits
packing charge,Fees/charges & shipping
possible damages or lost,Damage/condition notes
postage,Fees/charges & shipping
printing smudges thrown away,Damage/condition notes
rcvd be air temp fix for dotcom sit,Stock/order/logistics notes
re dotcom quick fix,Channel/marketplace labels
re-adjustment,Adjustments/credits
returned,Other admin/noise
reverse 21 5 10 adjustment,Adjustments/credits
reverse previous adjustment,Adjustments/credits
rusty throw away,Damage/condition notes
rusty thrown away,Damage/condition notes
sale error,Other admin/noise
samples,Other admin/noise
samples damages,Damage/condition notes
show samples,Other admin/noise
showroom,Other admin/noise
smashed,Damage/condition notes
sold as 1 on dotcom,Sold-as/set notes
sold as set 6 by dotcom,Sold-as/set notes
sold as set by dotcom,Sold-as/set notes
sold as set on dotcom,Sold-as/set notes
sold as set on dotcom and amazon,Sold-as/set notes
sold with wrong barcode,Barcode/coding/label errors
stock check,Stock/order/logistics notes
stock creditted wrongly,Adjustments/credits
taig adjust,Adjustments/credits
taig adjust no stock,Adjustments/credits
temp adjustment,Adjustments/credits
throw away,Damage/condition notes
thrown away,Damage/condition notes
thrown away-can t sell,Damage/condition notes
thrown away-rusty,Damage/condition notes
to push order througha s stock was,Stock/order/logistics notes
unsaleable destroyed,Damage/condition notes
water damage,Other admin/noise
water damaged,Damage/condition notes
wet,Damage/condition notes
wet boxes,Damage/condition notes
wet damaged,Damage/condition notes
wet mouldy,Damage/condition notes
wet pallet,Damage/condition notes
wet pallet-thrown away,Damage/condition notes
wet rusty,Damage/condition notes
wrong barcode,Barcode/coding/label errors
wrong barcode 22467,Barcode/coding/label errors
wrong code,Barcode/coding/label errors
wrongly coded 20713,Barcode/coding/label errors
wrongly coded 23343,Barcode/coding/label errors
wrongly coded-23343,Barcode/coding/label errors
wrongly marked,Barcode/coding/label errors
wrongly marked 23343,Barcode/coding/label errors
wrongly marked 23343 inch box,Barcode/coding/label errors
wrongly marked carton 22804,Barcode/coding/label errors
wrongly mrked had 85123a in box,Other admin/noise
wrongly sold 22719 barcode,Barcode/coding/label errors
wrongly sold as sets,Sold-as/set notes
wrongly sold sets,Sold-as/set notes
